#Cfactor 0.0669006
Recipient	BG16	BG10	BG11	VOLF	TRI18	BG12	LAR19	TRI17	ISR02	T406	BG01	K9710	ISR05	ISR03	TANK	T410	CRO03	EE83	CRO14	BG04	NES5	TRI19	F09	F11	F12	GG90	GG91	KH87	EE87	EE89	ES06	ES02	ES04	BG05	BG08	I203P	I205P	I206P	SM3	M5	KH86	KH73	I035	I124	I180	I762	NES6	F10	EE86	EE91	I091	I247	NES4	K9713	M6	KH88	CRO07	ES14	ES15	ES17	ES23	I207P	I208P	I209P	I216P	I660	I791	L280	L283	L286	G303	GIA09	K9712	GG141	GG92	KH66	KH67	SIC2	NES2	L281	L288	L279	G304	K9711
BG16	0	474.814	472.657	441.303	451.037	483.226	441.671	449.521	433.131	449.77	456.116	404.689	435.563	421.073	442.306	436.344	444.347	434.795	441.344	479.597	461.881	441.711	407.094	405.03	410.824	411.397	416.143	420.011	427.659	429.341	475.247	487.64	498.548	484.6	477.229	444.11	445.987	432.639	446.487	406.087	409.311	406.538	454.287	436.74	444.508	448.134	458.797	413.184	428.975	428.894	446.139	438.514	453.61	418.351	404.08	414.999	443.765	482.188	466.392	489.338	469.187	452.975	435.034	442.417	440.77	442.065	433.754	430.701	441.797	438.776	445.141	445.599	422.179	414.535	411.772	414.156	395.055	460.949	464.142	433.212	436.416	441.037	435.939	416.683
BG10	480.734	0	476.883	436.903	445.814	470.844	442.656	445.022	420.127	438.475	494.233	422.681	433.433	430.187	426.895	441.018	443.328	427.439	425.86	500.373	462.017	436.935	406.217	411.153	412.15	402.428	407.922	411.534	439.926	430.83	487.272	476.842	490.522	477.723	484.26	443.09	445.79	437.364	449.879	407.188	412.872	409.338	446.682	447.94	438.69	444.552	449.603	414.218	437.581	439.827	435.749	441.527	458.774	423.204	414.597	410.657	430.481	501.112	489.948	482.969	479.258	445.86	448.815	432.094	434.016	442.17	446.798	433.76	435.702	434.635	435.736	444.523	420.126	408.291	402.22	412.081	405.732	443.382	440.992	425.671	441.716	440.81	441.228	424.117
BG11	473.199	478.304	0	430.327	428.41	496.181	442.796	434.968	425.339	429.359	503.914	440.81	426.585	468.994	421.573	440.639	428.568	426.52	433.305	498.757	451.295	452.698	397.003	416.371	415.492	410.403	393.517	395.842	437.439	433.588	466.248	465.052	464.794	474.869	483.561	438.104	430.586	453.523	462.732	427.181	412.971	409.923	454.57	462.914	450.765	433.763	440.485	411.122	435.548	423.323	435.407	433.26	456.478	418.923	421.544	399.415	441.202	484.846	492.598	486.813	480.678	432.51	471.794	452.132	447.87	429.124	480.301	430.096	434.504	443.826	450.518	429.37	398.483	403.672	403.107	399.502	413.091	438.878	431.636	444.221	437.84	444.264	445.448	426.417
VOLF	441	437.414	431.726	0	520.665	440.944	456.754	470.196	435.948	457.508	427.629	412.516	435.832	430.851	449.577	433.326	448.288	435.276	447.198	435.092	458.914	450.243	417.28	418.593	409.947	405.226	421.343	420.604	439.442	442.249	449.566	449.883	444.226	447.532	431.602	469.845	459.462	452.195	454.591	407.611	414.585	409.403	451.937	446.824	462.162	453.279	457.323	408.032	439.04	446.757	459.545	457.921	445.944	416.738	412.331	417.834	451.938	437.699	443.897	426.751	444.44	455.223	434.384	449.087	458.257	454.474	446.196	448.844	454.694	449.586	465.107	472.384	418.765	414.312	419.909	420.266	404.416	460.565	447.327	444.782	449.897	433.608	448.137	421.307
TRI18	451.111	444.812	429.424	506.303	0	435.356	453.254	468.416	441.699	456.735	434.139	417.324	448.196	426.903	451.511	445.964	448.171	447.181	447.711	441.846	445.232	457.864	412.692	415.042	413.508	408.227	418.506	415.062	435.006	436.894	436.902	444.881	450.088	449.542	444.823	461.065	472.982	458.528	444.18	402.476	408.904	409.161	450.028	455.801	449.073	453.448	458.991	406.617	430.939	447.404	455.043	453.338	449.768	416.025	410.733	416.155	449.637	430.292	432.959	439.106	431.993	462.655	445.013	439.465	459.978	454.269	438.892	457.108	457.624	445.369	469.344	459.568	431.192	413.921	415.749	412.285	403.534	461.915	460.781	445.411	459.728	441.281	449.364	414.582
BG12	482.875	468.878	494.777	441.057	433.808	0	451.957	436.84	425.17	438.761	505.58	428.719	423.746	446.825	430.032	438.881	433.906	421.434	427.759	495.021	451.542	442.231	411.071	405.56	411.712	408.782	399.975	404.67	439.733	422.374	469.77	500.893	474.567	465.184	481.186	446.988	442.454	438.595	455.28	408.557	417.537	405.441	454.053	455.462	450.192	451.076	450.737	407.176	442.987	424.657	443.294	437.509	453.992	417.696	415.7	398.904	430.649	485.245	490.718	484.188	483.571	438.425	447.668	444.884	451.052	447.922	450.439	432.782	433.959	437.919	448.413	433.215	410.119	398.529	403.869	407.974	398.959	458.054	452.421	437.949	430.427	433.72	446.069	421.302
LAR19	442.692	440.701	443.082	454.709	452.569	450.976	0	459.711	441.294	449.935	445.063	427.238	433.959	451.686	463.052	451.264	454.86	428.304	440.488	447.26	436.641	466.435	415.86	423.43	426.558	409.946	408.822	411.751	442.928	442.934	438.016	444.07	437.842	432.102	450.296	456.286	462.37	448.809	451.864	409.838	414.505	408.758	442.224	455.723	449.201	448.026	446.741	420.405	440.124	435.432	453.944	443.06	447.32	424.766	414.385	414.195	439.528	442.687	443.218	447.627	437.839	441.377	457.624	458.292	473.181	446.869	467.049	442.681	434.325	446.408	472.662	460.768	421.426	407.655	411.826	408.176	412.628	452.944	450.938	452.094	451.781	449.731	465.601	422.617
TRI17	450.087	442.669	436.274	471.639	467.4	438.432	460.258	0	440.124	458.821	436.777	412.927	445.31	427.683	456.997	450.979	460.546	434.091	442.561	435.262	460.045	444.85	413.9	415.428	407.171	408.491	420.814	418.073	438.132	442.995	443.171	450.109	442.474	441.507	441.692	459.743	464.766	455.908	449.389	404.211	406.285	409.785	443.858	439.955	461.403	460.526	453.9	410.168	433.519	448.747	448.767	457.22	461.059	413.299	409.69	413.667	451.729	437.581	442.497	432.383	443.412	469.827	443.108	444.203	460.246	463.406	435.673	451.513	448.157	443.937	483.628	457.451	429.788	409.109	411.99	422.431	402.432	452.324	460.511	446.783	452.366	447.236	447.823	418.903
ISR02	436.35	419.774	428.487	436.193	442.926	428.056	445.493	441.883	0	454.997	425.357	429.729	536.621	492.766	447.187	441.123	431.099	510.251	442.681	432.609	444.677	443.626	417.59	429.298	426.641	419.757	420.128	436.37	484.486	529.526	437.243	441.275	431.566	432.308	417.861	446.014	438.111	437.603	439.112	427.343	418.927	419.472	437.266	424.941	426.677	434.469	437.558	417.307	516.589	589.548	435.266	444.668	418.466	420.437	415.221	435.109	437.334	421.891	429.364	419.24	422.193	439.281	431.372	437.627	439.136	437.274	428.705	444.242	443.702	433.16	435.154	448.573	434.36	434.768	435.696	425.193	430.071	435.373	435.149	434.243	447.031	432.677	433.257	431.898
T406	451.172	436.37	430.952	457.986	459.126	440.657	451.46	459.931	454.112	0	427.705	414.947	455.892	445.66	466.464	455.032	459.013	456.346	443.399	433.626	442.026	450.533	421.711	416.697	420.747	409.399	418.003	427.943	440.376	458.377	437.282	436.588	446.465	443.008	440.161	448.8	460.192	441.521	450.007	424.258	410.269	414.076	439.376	427.441	433.136	447.96	453.007	416.705	452.852	452.365	450.416	448.722	437.164	422.365	411.341	423.941	449.951	434.251	439.268	441.772	433.712	462.797	434.912	445.082	451.247	451.795	440.001	452.018	466.771	450.143	449.919	469.275	430.09	425.878	431.622	425.798	416.492	446.8	444.21	437.773	450.479	448.058	450.107	418.7
