Time	UpperNe	LowerNe	Ne
0	638551.665	28945.304	95073.122
48.88524509	638551.665	28945.304	95073.122
97.77049018	638551.665	28945.304	95073.122
146.6557353	638551.665	28945.304	95073.122
195.5409804	638279.687	28945.304	95073.122
244.4262255	638279.687	28965.276	95073.122
293.3114705	638279.687	28974.591	95070.858
342.1967156	638279.687	29000.459	95064.636
391.0819607	638279.687	29000.459	95064.636
439.9672058	638279.687	29009.668	95064.636
488.8524509	638279.687	29064.420	95039.102
537.737696	638279.687	29068.464	95039.102
586.6229411	638279.687	29084.954	95064.636
635.5081862	638279.687	29069.546	95039.102
684.3934313	638279.687	29110.239	95039.102
733.2786764	638279.687	29159.689	95070.858
782.1639214	638178.079	29203.257	95010.472
831.0491665	638025.125	29217.867	94965.375
879.9344116	637550.264	29282.856	94941.594
928.8196567	637405.303	29369.917	94904.357
977.7049018	637405.303	29428.266	94889.724
1026.590147	636326.321	29473.483	94861.631
1075.475392	636326.321	29531.681	94843.331
1124.360637	636240.744	29542.365	94805.902
1173.245882	634864.226	29531.681	94769.229
1222.131127	634513.251	29563.786	94722.993
1271.016372	634513.251	29555.932	94634.890
1319.901617	632827.333	29563.786	94577.352
1368.786863	632827.333	29601.306	94565.239
1417.672108	631627.558	29644.006	94552.233
1466.557353	630981.405	29678.278	94523.611
1515.442598	627626.855	29782.525	94325.766
1564.327843	623307.566	29792.598	94193.656
1613.213088	622157.481	29821.744	94085.321
1662.098333	621804.033	29845.742	93920.195
1710.983578	619695.626	29840.240	93865.533
1759.868823	618022.905	29884.802	93751.933
1808.754068	616624.971	29906.167	93626.666
1857.639313	615733.273	29919.833	93464.357
1906.524559	615420.442	29919.833	93346.509
1955.409804	614439.651	29919.833	93282.510
2004.295049	611155.939	29907.368	93036.086
2053.180294	610704.525	29906.167	92808.629
2102.065539	608048.216	29906.098	92672.551
2150.950784	605361.747	29903.234	92515.700
2199.836029	605317.353	29903.234	92357.853
2248.721274	603722.589	29948.321	92213.618
2297.606519	600047.410	29948.321	92016.654
2346.491764	597442.089	29907.368	91795.567
2395.377009	593528.954	29907.368	91610.509
2444.262255	591230.895	29840.240	91503.065
2493.1475	589196.712	29829.990	91341.899
2542.032745	584123.915	29722.888	91142.047
2590.91799	580400.249	29696.552	90884.026
2639.803235	577283.869	29660.318	90689.919
2688.68848	575954.762	29665.252	90522.160
2737.573725	572614.851	29651.697	90292.698
2786.45897	568460.998	29638.955	90051.951
2835.344215	567136.677	29609.121	89886.786
2884.22946	566352.851	29544.682	89605.409
2933.114705	564376.694	29525.208	89295.612
2981.999951	559484.999	29531.681	89079.905
3030.885196	557367.580	29471.255	88913.104
3079.770441	554032.198	29458.843	88765.481
3128.655686	550476.920	29433.752	88566.583
3177.540931	546865.185	29371.163	88426.357
3226.426176	544857.398	29311.505	88180.763
3275.311421	539817.032	29262.179	87903.694
3324.196666	535406.673	29217.867	87615.321
3373.081911	534674.622	29193.735	87386.784
3421.967156	531621.541	29064.420	87160.791
3470.852401	525210.305	29004.902	86894.071
3519.737646	520536.307	28884.255	86722.070
3568.622892	519811.420	28858.846	86579.564
3617.508137	518169.033	28797.849	86439.406
3666.393382	516637.496	28760.892	86311.775
3715.278627	514410.774	28591.945	86033.431
3764.163872	511930.810	28480.420	85738.495
3813.049117	507968.201	28365.212	85501.164
3861.934362	505489.347	28315.869	85276.289
3910.819607	501949.541	28270.647	85059.800
3959.704852	500287.197	28110.304	84895.312
4008.590097	496787.220	28011.641	84602.187
4057.475342	495986.370	27886.161	84267.613
4106.360588	491131.732	27832.689	84079.269
4155.245833	490310.769	27717.456	83797.725
4204.131078	486651.531	27530.899	83554.108
4253.016323	484178.553	27397.676	83246.302
4301.901568	481323.684	27275.855	83028.385
4350.786813	478099.584	27165.095	82695.511
4399.672058	474240.169	27171.057	82522.733
4448.557303	469885.768	27143.963	82284.949
4497.442548	468629.351	27050.625	82117.220
4546.327793	465499.299	26871.047	81886.538
4595.213038	462611.252	26813.210	81651.562
4644.098284	458005.640	26684.593	81250.703
4692.983529	454999.137	26568.426	80965.296
4741.868774	451152.700	26327.535	80585.182
4790.754019	446676.001	26270.534	80350.321
4839.639264	443650.095	26134.802	80049.192
4888.524509	440678.640	26066.682	79758.641
4937.409754	437844.698	25971.416	79555.050
4986.294999	436185.984	25811.310	79244.487
5035.180244	433438.645	25613.647	78943.847
5084.065489	431619.951	25533.258	78610.039
5132.950734	428369.107	25361.174	78456.589
5181.83598	426310.177	25310.598	78179.161
5230.721225	423880.160	25237.936	77977.564
5279.60647	419828.672	25129.713	77709.054
5328.491715	417835.322	25015.419	77429.162
5377.37696	415450.982	24862.195	77090.415
5426.262205	410140.344	24676.238	76826.764
5475.14745	404707.574	24511.636	76453.771
5524.032695	399338.888	24434.149	76135.737
5572.91794	396461.648	24271.291	75868.996
5621.803185	394435.331	24210.437	75662.653
5670.68843	393008.349	23886.413	75340.962
5719.573676	391328.517	23851.328	75134.502
5768.458921	388503.974	23700.055	74804.833
5817.344166	386185.390	23591.669	74581.185
5866.229411	384923.923	23420.202	74394.880
5915.114656	380961.508	23326.272	74105.835
5963.999901	379258.204	23107.835	73748.833
6012.885146	378037.001	22904.603	73449.574
6061.770391	375634.743	22726.257	73080.945
6110.655636	372772.415	22582.230	72818.025
6159.540881	371903.575	22518.576	72443.960
6208.426126	369717.042	22317.700	72090.247
6257.311372	367767.347	22100.410	71829.091
6306.196617	366120.788	21867.623	71462.944
6355.081862	364245.751	21663.041	71093.636
6403.967107	362585.597	21600.893	70781.513
6452.852352	360017.649	21502.862	70548.270
6501.737597	358348.075	21303.817	70256.462
6550.622842	356841.228	21167.054	69924.817
6599.508087	350438.102	20860.848	69648.290
6648.393332	347390.093	20691.984	69274.953
6697.278577	345827.285	20430.206	68947.452
6746.163822	345407.193	20215.235	68634.759
6795.049068	342632.422	20004.996	68370.284
6843.934313	340161.369	19758.250	67964.347
6892.819558	336573.847	19681.853	67577.128
6941.704803	333613.397	19632.230	67291.906
6990.590048	332134.279	19484.671	67010.284
7039.475293	330599.344	19372.677	66680.208
7088.360538	328262.210	19308.551	66415.973
7137.245783	327450.014	19218.403	66061.937
7186.131028	326318.939	19139.849	65689.655
7235.016273	324332.396	19009.316	65306.313
7283.901518	321334.194	18969.071	65009.232
7332.786764	319029.702	18822.047	64581.976
7381.672009	315973.388	18733.901	64259.283
7430.557254	314275.481	18655.913	64008.136
7479.442499	311251.616	18492.818	63621.656
7528.327744	308412.284	18369.590	63337.673
7577.212989	307401.983	18206.045	63089.904
7626.098234	304145.710	18117.596	62768.364
7674.983479	301553.785	17978.658	62438.454
7723.868724	297039.119	17858.781	62142.478
7772.753969	293324.100	17708.270	61744.670
7821.639214	291431.204	17623.092	61480.529
7870.52446	290051.807	17490.339	61126.155
7919.409705	287400.769	17374.748	60750.845
7968.29495	283807.908	17201.676	60455.567
8017.180195	281071.633	17165.135	60168.502
8066.06544	277410.582	17081.437	59949.432
8114.950685	275680.235	17055.496	59722.071
8163.83593	274512.286	16932.322	59415.130
8212.721175	272900.065	16877.476	59140.551
8261.60642	271495.109	16793.705	58900.246
8310.491665	270190.399	16762.203	58663.676
8359.37691	267462.424	16616.450	58326.087
8408.262156	265142.235	16507.815	57960.026
8457.147401	263923.699	16437.096	57631.989
8506.032646	260756.335	16423.496	57433.809
8554.917891	259341.588	16396.337	57156.749
8603.803136	257102.404	16308.615	56901.032
8652.688381	256206.477	16228.934	56728.730
8701.573626	254046.846	16217.396	56410.152
8750.458871	250025.309	16138.200	56131.944
8799.344116	246815.998	16084.701	55898.175
8848.229361	245929.854	15979.425	55611.782
8897.114606	243878.324	15911.201	55362.193
8945.999852	242160.781	15842.681	55187.408
8994.885097	241475.503	15750.787	54920.601
9043.770342	239250.754	15690.066	54715.727
9092.655587	236699.398	15676.055	54457.587
9141.540832	235089.580	15634.974	54229.560
9190.426077	234048.040	15514.254	54023.480
9239.311322	233486.898	15493.269	53858.949
9288.196567	232404.433	15491.272	53657.480
9337.081812	229510.861	15515.875	53441.140
9385.967057	228232.698	15491.272	53170.160
9434.852302	226923.116	15479.347	52983.012
9483.737548	225136.213	15455.756	52765.618
9532.622793	224453.742	15364.597	52603.880
9581.508038	223436.280	15340.448	52483.757
9630.393283	222602.705	15349.445	52304.656
