Time	UpperNe	LowerNe	Ne
0	317897.576	28598.182	108573.226
15.43869171	315932.435	29476.500	109080.547
30.87738342	314417.286	30146.419	109459.887
46.31607513	312416.963	30920.204	109814.751
61.75476684	308199.505	31399.954	110244.858
77.19345855	306629.944	32290.006	110626.369
92.63215026	305281.023	32922.359	111157.519
108.070842	302506.407	33637.113	111627.655
123.5095337	299908.887	34189.603	112095.728
138.9482254	296750.752	34942.180	112695.379
154.3869171	294688.817	35543.876	113331.729
169.8256088	292109.411	36202.196	113842.473
185.2643005	289451.921	36640.171	114303.728
200.7029922	288628.810	37078.964	114723.259
216.1416839	286597.051	37407.333	115287.838
231.5803756	283357.336	38052.890	115886.469
247.0190674	283120.621	38474.533	116423.823
262.4577591	283034.874	39178.207	117010.301
277.8964508	281650.431	39529.047	117523.537
293.3351425	281334.538	40067.567	117993.988
308.7738342	280272.001	40580.656	118578.133
324.2125259	278949.544	41120.375	119128.112
339.6512176	277574.699	41780.206	119878.159
355.0899093	276452.961	42430.899	120555.925
370.528601	275488.783	42935.095	121273.131
385.9672927	274958.687	43232.879	121901.530
401.4059845	274897.018	43941.749	122391.778
416.8446762	274605.882	44451.037	122993.254
432.2833679	274014.566	45156.988	123577.937
447.7220596	274605.882	45397.603	124100.970
463.1607513	274605.882	45932.967	124740.345
478.599443	274938.981	46531.938	125351.264
494.0381347	274498.588	47199.635	126048.340
509.4768264	274958.687	47597.776	126623.754
524.9155181	274958.687	48168.585	127200.545
540.3542098	274904.360	48696.858	127794.640
555.7929016	274938.981	49231.291	128376.171
571.2315933	275875.444	49702.133	129085.634
586.670285	276314.752	50059.625	129733.376
602.1089767	276851.305	50532.510	130187.547
617.5476684	277790.016	51104.164	130739.350
632.9863601	278100.798	51503.157	131334.811
648.4250518	279070.182	51995.734	131872.119
663.8637435	279787.204	52543.817	132358.638
679.3024352	279787.204	53008.654	132768.726
694.7411269	280512.867	53322.764	133306.621
710.1798187	280898.608	53724.533	133839.060
725.6185104	281087.493	54198.758	134324.641
741.0572021	281218.622	54611.587	135018.767
