latitude	longitude	
28.161499024	55.842102050	
32.605529785	-8.072509766	
32.754089355	-8.716491699	
32.876708984	-8.879089355	
38.779479981	-9.495910645	
39.355285645	-9.407104492	
42.996276856	-8.435485840	
43.083496094	-8.359008789	
43.381286621	-7.892028809	
43.425292969	-7.739196778	
56.740478516	52.825927734	
56.867492676	53.681274414	
56.897277832	54.217102051	
58.391906739	97.028686524	
58.304687500	98.252075195	
49.721130371	118.491271972	
48.986083984	120.086120606	
48.333679199	120.723876953	
47.264282226	120.979125976	
47.216125488	120.969116211	
45.459472656	120.596313477	
43.975524902	119.830871582	
37.999511719	115.301879882	
36.551513672	113.898681641	
36.015502930	111.921081543	
28.186279297	56.166503906	
28.165893554	56.004272461	
28.161499024	55.842102050	
