bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9
ISR,1.07183764916304,0.931755091454098,0.909769373405066,0.325724303836406,1.83715599367369,-0.927729217870692,1.62301453620418,1.68147796463346,-0.980199437270181,-1.3243844056842,1.97508993193867,-0.509663754018551,1.2456562152174,-0.80479386473722,0.223491368161458,0.85215523726552,-0.905563607073148,-0.402424509945616,0.735075171971233
ESS,0.903776975458073,0.857014498485527,0.859020113846376,0.0601068585180506,0.180146656178918,-0.727018569773667,0.164854736428664,0.23278192735721,-0.539109690498599,-0.895847078729373,0.445559008215121,0.640347597396413,1.54506592387463,-0.789726659723335,1.27769166151396,0.738205192779079,-0.509752049122208,-0.342242455454277,0.723257141794933
SIC,0.692753295440303,0.361188561351075,0.76787842353533,-0.235439313033359,-0.253225016704329,-0.727018569773667,0.0831457763926819,-0.185111160318632,-0.612624648293863,-0.605053892581455,-0.202829100754645,-0.993699713387281,0.534299671376092,-0.787082964537644,-0.0255327179552289,0.782915818480992,-0.890488663351864,0.176108307300085,0.642759031422021
ESN,0.69238966792952,0.820533910354188,0.661546574970878,0.0451424954015235,0.0271919481024781,-0.459404372310968,-0.150115931633611,0.0284786400490203,-0.245049859317545,-0.696883319786061,0.212804302431102,0.274036334585399,0.733483375960119,-0.54151132456862,1.4105038917346,0.626739059604955,-0.350235419435552,-0.826223626632416,0.731979099112575
GRC,0.564513993304245,0.816752331646599,0.471668156377117,-0.261626948487281,-0.482657078818989,0.209631121345781,-0.645796258985355,-0.528712143518769,0.049009971863509,-0.482614656308648,-0.244392441073219,0.594457262328973,0.809536862089726,-0.324369403954159,1.01621663496641,0.432682426509211,-0.2310361061873,-0.439178963908007,0.733866924704073
GRL,0.617315292477211,0.546483372362412,0.625201165595094,-0.100760044984615,0.0781768507946248,-0.392500822945293,0.0569922027546431,0.0563381792274098,-0.263428598766361,-0.742798033388363,0.428933672087691,-1.55400337204709,-0.431904704822664,-0.580226173651197,-0.162034579935421,0.676521052816225,-0.804945512714852,-0.77123211956772,0.687991985058633
ITS,0.375010585552482,-0.0465498846903431,0.532544311569846,0.303277759161615,-0.253225016704329,0.74485951627118,-0.845242656331151,-0.12010556890239,0.618750894776802,-0.00816261575152045,0.129677621793953,-0.799436844962313,0.260040973797305,-0.633696852906805,-0.22336835844656,0.556257694417608,-0.684694684695409,-0.446052801951882,0.587331646753089
MOS,-0.613573709475687,0.524906353765626,-0.930785131770545,-1.60467853819558,-1.4258777786237,-0.927729217870692,1.61105550623935,-1.47593647558401,-0.961820697821365,-0.34487051550174,-1.38322796580217,0.820178457417504,-1.26670884936251,1.26359238256691,0.703553162793501,-1.04928913426928,1.36307834156314,2.23548293311515,-1.23342838968481
ITN,0.267564894823466,0.302018500974202,0.204054711192941,0.583859567596498,-0.329702370742549,1.7484127567563,-1.30560629067331,-0.175824647259169,1.55606660666641,1.18561993790835,-0.236079773009504,-0.594633432917179,-0.377606913737222,-0.171076326969905,0.195822098558207,0.276816149607209,-0.262939465559123,0.107649471905421,-0.37981617063766
KAZ,-0.43152072936775,0.437041607968395,-0.603618953806658,-1.00236292275537,-1.37489287593156,0.0758240226144315,-1.28958707640674,-1.38307134498938,-0.0612624648293863,-0.268345992831236,-0.91771855423413,-0.275510587966265,-1.43849934147362,0.876296232691236,0.549988485604857,-0.525491557968532,0.732724825759794,1.78474956112526,-0.949948195193531
MON,-2.11521883871892,-2.59285732412356,-1.75692880542021,-0.747968749774411,0.180146656178918,-0.793922119139342,1.69711229805788,0.0470516661679466,-0.85154826112847,2.16513382809081,-1.33335195741988,2.06488861362275,-0.543556163330456,1.3089523611525,-2.44521275261867,-1.83979819833812,1.45773673773496,0.269257211186621,-1.7755446870954
RUS,-2.22645471123657,-1.532025534092,-2.42046746003714,-1.01358619509277,-0.686596689587575,-0.593211471042317,0.583223213780654,-0.779447996124274,-0.667760866640311,0.802997324555827,-1.22528727259158,1.17092200536416,-1.81664435495252,2.49462619649926,-1.21807935932399,-2.35334958726885,2.34857603974852,0.938273521496485,-2.030102995997
