habitat,f,ESU_season
cropland,0.83,Western_breeding
shrubs,0.62,Western_breeding
urban,0.5,Western_breeding
forest,0.26,Western_breeding
herb_veg,0.24,Western_breeding
other,0.09,Western_breeding
bare,0,Western_breeding
herb_veg,0.84,Eastern_breeding
bare,0.17,Eastern_breeding
other,0.11,Eastern_breeding
urban,0.1,Eastern_breeding
cropland,0.09,Eastern_breeding
forest,0.07,Eastern_breeding
shrubs,0.01,Eastern_breeding
herb_veg,0.75,Western_nonbreeding
cropland,0.49,Western_nonbreeding
shrubs,0.38,Western_nonbreeding
urban,0.3,Western_nonbreeding
other,0.21,Western_nonbreeding
bare,0.06,Western_nonbreeding
forest,0.01,Western_nonbreeding
herb_veg,0.81,Eastern_nonbreeding
cropland,0.4,Eastern_nonbreeding
shrubs,0.25,Eastern_nonbreeding
urban,0.21,Eastern_nonbreeding
other,0.05,Eastern_nonbreeding
forest,0.05,Eastern_nonbreeding
bare,0.02,Eastern_nonbreeding
