longitude,latitude,ESU,season
90.52754,43.83801,Eastern,breeding
79.12685,43.22052,Eastern,breeding
79.19814,43.14532,Eastern,breeding
79.11884,43.37207,Eastern,breeding
107.19935,43.19582,Eastern,breeding
106.63068,42.71719,Eastern,breeding
113.76492,49.29836,Eastern,breeding
108.64503,45.72304,Eastern,breeding
101.17033,44.7109,Eastern,breeding
86.62639,50.45167,Eastern,breeding
86.49571,50.59217,Eastern,breeding
87.98852,50.18742,Eastern,breeding
87.26671,50.36011,Eastern,breeding
50.01101,51.41974,Eastern,breeding
82.23622,45.96466,Eastern,breeding
105.71766,50.60364,Eastern,breeding
47.339118,47.979422,Eastern,breeding
110.618,48.423,Eastern,breeding
107.315278,42.860556,Eastern,breeding
108.706,45.5655,Eastern,breeding
104.771,43.3773,Eastern,breeding
104.125,43.7544,Eastern,breeding
104.076,43.4887,Eastern,breeding
104.048,43.5196,Eastern,breeding
102.248,43.7779,Eastern,breeding
101.525,43.6648,Eastern,breeding
95.25,50.25,Eastern,breeding
94.851283,50.562509,Eastern,breeding
94.75,50.75,Eastern,breeding
94.75,51.25,Eastern,breeding
94.25,52.25,Eastern,breeding
93.910887,50.71723,Eastern,breeding
93.75,52.25,Eastern,breeding
93.25,50.75,Eastern,breeding
92.8036,51.5313,Eastern,breeding
92.751686,51.525875,Eastern,breeding
90.571679,53.778455,Eastern,breeding
90.445263,53.796362,Eastern,breeding
88.3521,47.3634,Eastern,breeding
88.242,47.6191,Eastern,breeding
88.1674,47.4121,Eastern,breeding
88.1667,47.639,Eastern,breeding
88.0229,47.6429,Eastern,breeding
87.9167,50.1845,Eastern,breeding
87.8144,47.3709,Eastern,breeding
87.6688,43.621,Eastern,breeding
87.6542,43.61,Eastern,breeding
87.5853,50.3103,Eastern,breeding
87.4385,43.8177,Eastern,breeding
87.3052,47.1023,Eastern,breeding
87.1474,48.4926,Eastern,breeding
87.0566,50.353,Eastern,breeding
87.0162,48.2537,Eastern,breeding
86.868628,50.404339,Eastern,breeding
86.851,47.7019,Eastern,breeding
86.8406,47.7246,Eastern,breeding
86.8382,47.7996,Eastern,breeding
86.8356,47.9205,Eastern,breeding
