	ESN	GRC	ISR	TUR	KAZ	CRO	RUS	ITN	SIC	MOS	MON	ESS	ITS	GRL	GRG
ESN	0	0.0121195	0.0167624	0.0515478	0.0257187	0.0376559	0.0312243	0.0174247	0.0142487	0.0441178	0.0308374	0.00615532	0.0121332	0.0209603	0.00851006
GRC	0.0121195	0	0.0123546	0.0457508	0.0271777	0.0333726	0.0301871	0.0112647	0.00993207	0.038698	0.0256115	0.0120472	0.00787274	0.0148201	0.00157511
ISR	0.0167624	0.0123546	0	0.0485293	0.0263593	0.0370071	0.0286899	0.0188091	0.019001	0.0370276	0.026318	0.017832	0.0160913	0.020096	0.00972375
TUR	0.0515478	0.0457508	0.0485293	0	0.0661644	0.078535	0.0661425	0.0515639	0.0511902	0.0778864	0.0630899	0.0513856	0.0480161	0.0546363	0.0508198
KAZ	0.0257187	0.0271777	0.0263593	0.0661644	0	0.0594781	0.0174347	0.0344626	0.0352733	0.0325728	0.0168557	0.0315404	0.0291648	0.0359051	0.0254094
CRO	0.0376559	0.0333726	0.0370071	0.078535	0.0594781	0	0.05953	0.0362354	0.0354872	0.0689147	0.0528972	0.0376292	0.0336053	0.042407	0.0395129
RUS	0.0312243	0.0301871	0.0286899	0.0661425	0.0174347	0.05953	0	0.0364622	0.03666	0.024266	0.00996582	0.0335016	0.0327537	0.0381724	0.0292997
ITN	0.0174247	0.0112647	0.0188091	0.0515639	0.0344626	0.0362354	0.0364622	0	0.0169024	0.0461684	0.0344918	0.017935	0.0132829	0.0203965	0.00832064
SIC	0.0142487	0.00993207	0.019001	0.0511902	0.0352733	0.0354872	0.03666	0.0169024	0	0.0452665	0.0329362	0.0136182	0.0118666	0.0207253	0.0105775
MOS	0.0441178	0.038698	0.0370276	0.0778864	0.0325728	0.0689147	0.024266	0.0461684	0.0452665	0	0.0158096	0.0442393	0.0427581	0.0476559	0.0397899
MON	0.0308374	0.0256115	0.026318	0.0630899	0.0168557	0.0528972	0.00996582	0.0344918	0.0329362	0.0158096	0	0.0315428	0.0311838	0.0352255	0.0251696
ESS	0.00615532	0.0120472	0.017832	0.0513856	0.0315404	0.0376292	0.0335016	0.017935	0.0136182	0.0442393	0.0315428	0	0.0135433	0.0215778	0.0106373
ITS	0.0121332	0.00787274	0.0160913	0.0480161	0.0291648	0.0336053	0.0327537	0.0132829	0.0118666	0.0427581	0.0311838	0.0135433	0	0.018848	0.00512913
GRL	0.0209603	0.0148201	0.020096	0.0546363	0.0359051	0.042407	0.0381724	0.0203965	0.0207253	0.0476559	0.0352255	0.0215778	0.018848	0	0.0129788
GRG	0.00851006	0.00157511	0.00972375	0.0508198	0.0254094	0.0395129	0.0292997	0.00832064	0.0105775	0.0397899	0.0251696	0.0106373	0.00512913	0.0129788	0
