ind	pop
1-BG16-A001-A01	ESN
2-BG10-A001-B01	ESN
3-BG11-A001-C01	ESN
4-VOLF-A001-D01	GRC
5-TRI18-A001-E01	GRC
6-BG12-A001-F01	ESN
7-LAR19-A001-G01	GRC
8-TRI17-A001-H01	GRC
9-ISR02-A001-A02	ISR
10-T407-A001-B02	TUR
11-T406-A001-C02	TUR
12-BG01-A001-D02	ESN
13-K9710-A001-E02	KAZ
14-ISR05-A001-F02	ISR
15-ISR03-A001-G02	ISR
16-TANK-A001-H02	TUR
17-T410-A001-A03	TUR
18-T409-A001-B03	TUR
19-CRO03-A001-C03	CRO
20-EE83-A001-D03	ISR
21-M3-A001-E03	RUS
22-CRO14-A001-F03_BIS	CRO
23-BG04-A001-G03	ESN
24-I202P-A001-H03	ITN
25-I217P-A001-A04	ITN
26-NES5-A001-B04_BIS	SIC
27-TRI19-A001-C04	GRC
28-F09-A001-D04	RUS
29-F11-A001-E04	RUS
30-F12-A001-F04	RUS
31-GG90-A001-G04	MOS
32-GG91-A001-H04	MOS
33-KH87-A001-A05	MON
34-T408-A001-B05	TUR
35-EE87-A001-C05	ISR
36-EE89-A001-D05	ISR
37-ES06-A001-E05	ESS
38-ES02-A001-F05	ESS
39-ES04-A001-G05	ESS
40-BG05-A001-H05	ESN
41-BG08-A001-A06	ESN
42-I203P-A001-B06	ITN
43-I205P-A001-C06	ITN
44-I206P-A001-D06	ITN
45-SM3-A001-E06	SIC
46-K9714-A001-F06	KAZ
47-M5-A001-G06	RUS
48-KH86-A001-H06	MON
49-KH73-A001-A07	MON
50-I204P-A001-B07	ITN
51-I035-A001-C07	ITS
52-I124-A001-D07	ITS
53-I180-A001-E07	ITS
54-I762-A001-F07	ITS
55-NES6-A001-G07_BIS	SIC
56-F10-A001-H07	RUS
57-EE86-A001-A08	ISR
58-EE91-A001-B08	ISR
59-I091-A001-C08	ITS
60-I247-A001-D08	ITS
61-NES4-A001-E08	SIC
62-K9713-A001-F08	KAZ
63-M6-A001-G08	RUS
64-GG89-A001-H08	MOS
65-KH88-A001-A09	MON
67-CRO07-A001-C09	CRO
68-ES14-A001-D09	ESS
69-ES15-A001-E09	ESS
70-ES17-A001-F09	ESS
71-ES23-A001-G09	ESS
72-I207P-A001-H09	ITN
73-I208P-A001-A10	ITN
74-I209P-A001-B10	ITN
75-I216P-A001-C10	ITN
76-I660-A001-D10	ITS
77-I791-A001-E10	ITS
78-L280-A001-F10	GRL
79-L283-A001-G10	GRL
80-L286-A001-H10	GRL
81-G303-A001-A11	GRG
82-GIA09-A001-B11	GRG
85-K9712-A001-E11	KAZ
86-GG141-A001-F11	MOS
87-GG92-A001-G11	MOS
88-KH66-A001-H11	MON
89-KH67-A001-A12	MON
90-SIC2-A001-B12	SIC
91-NES2-A001-C12	SIC
92-L281-A001-D12	GRL
93-L288-A001-E12	GRL
94-L279-A001-F12	GRL
95-G304-A001-G12	GRG
96-K9711-A001-H12	KAZ
