Acronym,Description,ESU,Longitude,Latitude,ddRAD,mtDNA
POR,Portugal,Western,-7.93,37.69,-,14
ESS,Southern Spain,Western,-6.49,37.4,7,8
ESN,Northern Spain,Western,-6.4,39.52,8,7
ITN,Northern Italy,Western,11.37,44.8,7,11
SIC,Sicily,Western,14.14,37.49,6,1
CRO,Croatia,Western,14.79,44.76,3,5
ITS,Southern Italy,Western,16.6,40.67,8,14
GRG,Western Greece,Western,20.85,39.67,3,2
GRC,Central Greece,Western,22.61,39.52,5,4
GRL,Eastern Greece,Western,25.29,39.91,6,2
TUR,Turkey,Western,34.04,39.33,3,2
ISR,Israel,Western,35.07,32.6,8,7
KAZ,Kazakhstan,Eastern,47.34,47.98,4,4
RUS,Southern Russia,Eastern,94.58,50.47,6,3
MOS,Southern Mongolia,Eastern,106.93,42.57,4,2
MON,Northern Mongolia,Eastern,110.51,48.16,6,6
