,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
0,112,Namibia,GBIF,e,13070828,24.707917,-17.874583,239.3308306,271.9599962,589.75,114.4252377,214.333252,255.4562988,513.9609375,119.4128418,185.25,262,641.5,102.5,216.75,298.75,574.5,104,260,229.7306061,508.8015137,118.3020191,260,240,508.6235733,119.9107723,269.612813,250,548.2164459,119,279.2991924,240,518.7645111,115.9917316
1,113,Zimbabwe,GBIF,e,13070976,30.874583,-17.874583,186.2720776,231.4599991,787,106.8419571,170.0195313,201.6166992,885.7770996,110.654541,141.75,227.25,849.75,94.25,178,241.75,642.25,91.5,220,182.2866106,704.7543488,110.1393776,215.1510715,200,765.0486145,113.8427753,220,230,711.3884888,115.5803013,230,220,663.9056091,111.3475723
2,114,Botswana,GBIF,e,13060478,25.124583,-17.79125,243.4154177,249.659996,595.5,115.6459179,220.440918,245.0810547,553.4440918,116.6816406,192,251,670.25,103.75,223.25,289.5,599,105.75,260,220,537.0789337,116,259.2294931,240,547.9169159,118.3608189,268.2905245,250,577.584137,117.615263,270,240,545.7345428,113.1882572
3,116,Namibia,GBIF,e,13236380,16.04125,-19.207917,230.6937504,291.0299969,368,117.1230812,214.0422363,252.0930176,364.7548828,98.92749023,177.5,275.25,448.5,104.25,215,296.5,420,104.25,260,240,353.4704132,122.8765774,260,240,315.4147568,116.0037422,270,240,344.615036,111.0919228,280,239.2604494,329.9906464,108.0007477
4,117,Namibia,GBIF,e,13226012,15.707917,-19.124583,230.2537489,289.5300007,348.5,118.1337185,212.6398926,248.3334961,345.0290527,102.0871582,176.5,265.5,417.25,107.5,213.75,291.25,396.75,105,260,240,339.9232712,124.7836742,260,240,303.4657669,118.0655346,270,239.834671,335.2683029,113.3180695,274.6619654,230,314.5794754,109.7946873
5,118,Namibia,GBIF,e,13215666,16.29125,-19.04125,225.6075001,282.3699856,401.5,114.9777336,215.6660156,249.6040039,388.1630859,98.40698242,179.5,268.5,476.5,104.5,217.25,294.75,444.25,104,260,240,373.1327133,122,260,240,333.7322845,115.2086868,270,240,367.3250504,111,280,240,356.8864594,108
6,119,Botswana,GBIF,e,13174414,24.124583,-18.707917,239.6016645,284.3400049,501.75,111.7095051,214.0214844,254.385498,379.762207,135.7775879,182,264.25,529.25,100,217,295.25,464.25,100.75,260,242.1622324,474.0976334,113.8472519,260,258.9531183,458.2832947,114,270,255.2100897,506.9259491,115,280,250,478.688385,111.0432167
7,120,Namibia,GBIF,e,13060476,25.04125,-17.79125,242.7024984,259.3499947,606,115.8468266,219.7978516,247.8742676,544.3798828,117.204834,191.5,254.75,664.5,103.25,222.5,291.5,593,105,260,220,532.3189697,116.3069973,260,239.8639345,540.7813416,118.8177414,270,250,572.5559235,117.9793625,270,240,540.5820465,113.8706207
8,122,Mozambique,GBIF,e,13288638,35.124583,-19.624583,248.0479193,164.2700052,1389.5,75.07305336,237.0993652,163.6979218,1388.901917,85.81473541,221,218.25,1181.75,87.25,242,165.5,1254.75,72,266.4786386,108.0835509,1337.038818,74.89774513,260,109.8457646,1505.277496,78.58680916,270.1712227,121.9541216,1485.390839,78.69373894,280,120.9459949,1408.799316,79
9,123,Botswana,GBIF,e,13060474,24.957917,-17.79125,240.9108305,261.8700171,611,115.8400383,218.168457,249.9812012,539.0512695,117.6811523,189.5,256.5,660.75,103.5,220.5,293.75,591.5,105,260,220,530.9358215,117.017086,260,239.2351961,537.175827,118.9975891,269.7290087,250,570.9858246,118,270,240,539.2565613,114
10,124,Botswana,GBIF,e,13246896,22.54125,-19.29125,232.8591681,239.0699959,438.5,107.3364029,213.0913086,252.0024414,331.8640137,126.065918,181,264,506,94.5,218,291,429,95,260,260,452.6308289,115.9978523,260,270,434.4704819,113.9678116,270,270,492.5702133,118.6800175,280,260,462.8054962,110
11,126,Botswana,GBIF,e,13070832,24.874583,-17.874583,239.4491673,266.6400099,604.5,114.3186359,214.4501953,250.7441406,527.3920898,118.2211914,186,256.25,652.5,102.75,217,295,583,104.5,260,220,557.5423889,117.1599388,259.5617056,235.4841661,561.1529083,118.9918766,261.7823696,249.2366791,601.7678375,118.0066376,270.3743172,240,568.1435242,114.3336067
12,127,Botswana,GBIF,e,13246894,22.457917,-19.29125,233.2941675,252.6600122,440.75,107.4010601,213,252.4685059,329.7329102,124.2648926,181,265,504,94.5,218,291.75,427,95,260,260,448.3905334,115.6567287,260,270,430.4911194,113.2114143,270,269.765625,489.0622101,118.0256844,280,260.0444317,460.8386459,110
13,128,Mozambique,GBIF,e,13112520,35.207917,-18.207917,245.9541655,194.1499949,1027.75,88.72914696,233.809082,179.732666,1245.669434,99.5534668,217.75,193.5,975.25,99.75,240,210,1005.5,82,263.4569788,170,982.9187164,94.54945946,260.1892233,180,1111.05423,98.84663582,269.9117327,190,1033.35463,93.24645042,273.6892223,190,981.9046326,94.11642075
14,130,Botswana,GBIF,e,13329830,24.79125,-19.957917,241.4962482,281.4200068,402.75,108.638979,212.791748,249.1020508,330.3828125,140.8078613,180,259,431,95.25,214,288.5,381.5,94,260,259.9627209,418.2211456,110.011034,260,269.2593861,400.2354507,108,270,260,450.5369873,109.1765575,273.3919811,259.7017813,433.2663803,104.4571037
15,131,Botswana,GBIF,e,13070830,24.79125,-17.874583,239.7008371,269.2199993,601.25,114.4327965,214.4123535,253.3178711,520.0742188,118.8815918,185.75,258.25,644.75,103.5,216.75,297,577.5,104,260,222.1398783,527.6844635,117.9522781,260,239.7448063,529.2777786,119.2844982,266.1067486,249.8906326,569.2766571,118.5844803,275.01688,240,538.0389252,115.3015842
16,132,Botswana,GBIF,e,13609596,26.707917,-22.207917,186.0795879,270.1900005,445.75,92.03355026,179.9714355,255.0952148,383.6066895,127.3276367,147.75,254.75,492.75,81.5,180.25,274.5,434.25,82,229.9046326,230,450.715744,96,224.2664528,240,436.0122528,95,230,250,527.8875885,98.01539612,240,240.0211573,497.820816,95.17359734
