,prog,locality,source,cluster,dup,X1,Y1,bio1_current,bio7_current,bio12_current,bio15_current,bio1_LIG,bio7_LIG,bio12_LIG,bio15_LIG,bio1_LGM,bio7_LGM,bio12_LGM,bio15_LGM,bio1_MH,bio7_MH,bio12_MH,bio15_MH,bio1_gfdlesm4_370,bio7_gfdlesm4_370,bio12_gfdlesm4_370,bio15_gfdlesm4_370,bio1_gfdlesm4_585,bio7_gfdlesm4_585,bio12_gfdlesm4_585,bio15_gfdlesm4_585,bio1_ukesm1_370,bio7_ukesm1_370,bio12_ukesm1_370,bio15_ukesm1_370,bio1_ukesm1_585,bio7_ukesm1_585,bio12_ukesm1_585,bio15_ukesm1_585
0,1,NA,Tracking,w,9040347,6.31,14.57,280.8116674,248.0000067,336,152.0170288,242.4836426,316.8405762,732.3803711,132.1809082,244.5,274,142.75,143.25,261.5,256,583,150,300,270,374.8403244,162.1133347,302.3555756,269.9632168,375.0677643,169.401516,312.3054504,270,517.1559067,164.6978722,320,270.0852823,510.3663712,159.6099281
1,2,NA,Tracking,w,9014439,5.98,14.76,282.5287485,242.6000071,380.5,147.9505959,240.6379395,320.2727051,780.5727539,131.9819336,242.75,273.25,156,139.75,259.25,257.5,666,146.75,303.915925,266.9851589,432.4889069,159.6808929,305.1831818,260,440.2291183,166.3850555,315.6853008,260.1474667,578.3346863,160.5057259,318.3002424,267.0211267,581.6656494,154.0897255
2,3,NA,Tracking,w,9346202,16.09,12.1,289.2316628,265.4133288,461,142.6487274,254.0136719,320.3011068,738.4495443,118.3802083,259,289.6666667,235,131,270,273.6666667,716.6666667,142,310,246.7229525,530.3122965,145.3677368,310,250,526.1629232,140.3717295,310,250,781.7730916,149.7898102,310.6848717,260,731.1989543,149.1237895
3,4,NA,Tracking,w,9232001,6.07,13.02,279.2745876,240.2000046,557,138.6010323,241.9938965,313.265625,1006.344238,127.4291992,243.5,267.75,394.75,138.75,255.5,254.75,924.75,137.25,303.3426666,240,700.7153931,143.0244026,307.4320126,240,689.4103851,141.8423958,310,260,869.8818359,142.2407799,310.0164413,258.0275679,895.7820282,138.374321
4,5,NA,Tracking,w,9232003,6.14,13.03,279.0750058,241.0133553,550.6666667,139.1234182,241.6272786,313.6559245,996.0800781,127.5201823,243.6666667,268,387.6666667,139,255.3333333,255,912,137.6666667,305.4345385,240,699.4970907,143.439916,309.0421232,240,687.3533529,142.4158325,310,260,869.7787476,142.9305878,310,259.7747421,895.1280314,139.0062815
5,6,NA,Tracking,w,9315141,16.9,12.36,287.4994405,261.6133118,492,143.2218323,254.9931641,329.6230469,785.4830729,120.2018229,262,301.3333333,253,131.6666667,267.6666667,291,813,144.3333333,310,249.4723511,520.1353149,148.4930471,310,250,508.7505493,142.9872691,310.2063688,250,743.758667,151.8361206,320,260,724.0757446,151.4816284
6,7,NA,Tracking,w,9247827,17.96,12.9,292.4870825,257.3599863,477,144.5766411,258,324.8444824,690.2207031,121.1166992,265.75,296.25,200,133.25,268.5,288,708.25,152.5,310,240,431.731575,156.2379951,310,250,413.0693817,152.4116173,320,250,687.7767181,165.3870583,320,259.3286324,670.2861023,164.9386597
7,8,NA,Tracking,w,8967865,7.88,15.15,276.4170837,254.279995,238.25,163.6724815,236.5405273,321.7319336,557.1677246,131.2421875,236.5,279.75,54.5,131,258.5,259.75,437.5,156.5,300,289.9368382,268.3926773,179.4117661,300,280.2321196,267.2023849,188.5148544,310,281.9942999,406.2717133,181.4939041,310,289.4848824,397.430397,176.8565674
8,9,NA,Tracking,w,8962487,-0.37,15.17,292.8041697,256.1999941,286.5,143.4622345,251.8769531,314.9836426,762.3864746,126.3366699,253.25,265.75,131.5,135.5,270,256.75,549.5,142.75,326.6745758,260,311.5399399,162.2633514,329.2407513,256.3405085,342.1815338,171.6617165,340,260,355.5765762,153.5750618,340,260,345.8009338,151.9748421
9,10,NA,Tracking,w,9444717,20.07,11.32,279.2627716,246.3733355,776,125.5081253,248.6549479,325.2008464,1043.784505,115.9039714,251.6666667,262,590,120.3333333,257,276.6666667,1131.333333,127.3333333,300,210,671.9393311,129.5158793,300,210.1171748,666.2681478,123.9914729,310,219.6139463,1004.069682,133.115626,308.951149,230.0694529,943.6889242,135.7091471
10,11,NA,Tracking,w,9713707,4.66,9.13,268.4004164,183.5599899,1112,85.97075462,247.9916992,230.0620117,1342.699707,95.45458984,237,192.75,1031.75,85.75,259.25,188.75,1344,86.75,300,160,937.6379547,91.08939934,300,160,1005.182022,91.18713379,303.4374046,180,1212.290039,102.3048782,310,180,1195.73291,103.8839798
11,12,NA,Tracking,w,9117600,-12.32,13.92,284.1879129,224.1599941,739,135.4704781,262.2268066,306.5178223,770.6022949,131.0568848,243.5,243.75,811,138.75,262.5,240.25,1011.25,128.25,326.3779354,220,606.4976044,129.6872597,320.172863,220,691.6912537,127.9964027,330,224.1753387,731.7267914,136.2399025,332.2157097,220.3330278,642.5677948,134.3703003
12,13,NA,Tracking,w,9050230,-13.58,14.5,278.2783365,234.8699808,767.75,135.2939453,262.0441895,310.9775391,761.7607422,131.0134277,241,256.5,865.75,139.75,262.25,255.25,1063,127,320,218.110466,494.4898834,141.0332069,320,211.9946241,567.3726501,138.5219421,322.3164463,220,586.9758759,143.8214073,330,220,506.8307648,139.9078178
13,14,NA,Tracking,w,8848344,-7.98,16.1,293.7170839,282.8199959,257.5,136.3598709,262.7375488,338.4863281,299.7009277,129.4470215,247.25,265.25,167.25,152,272.75,266.25,423.75,140.75,320,280,318.1231766,153.7649689,320,270,335.8339233,157.8215485,330,279.1888189,281.6590958,150.5711861,340,270,249.6673012,143.2103424
14,15,NA,Tracking,w,8837994,-7.58,16.18,298.265419,283.6699963,246.75,136.4031105,264.8173828,334.6118164,329.9291992,127.4221191,250.5,262.5,164.25,148,275.5,263.75,439.5,139,320,280,295.183403,152,330,270,314.3201599,155.9030533,340,276.207099,260.5868683,147.0581551,340,270,236.0422974,140.313324
15,16,NA,Tracking,w,8682462,-13.05,17.45,302.474165,266.0899925,155.25,141.7174263,273.9572754,332.4755859,97.1484375,160.1777344,255.75,264,141.5,166,277,272,246.5,152,330,260,203.0895767,163.9279099,330,250,205.5280457,164.8452263,338.954792,260,155.6852646,157.1521339,340,250,144.7268982,153.269577
16,17,NA,Tracking,w,9045197,-7.45,14.53,273.9979172,274.380002,432.75,143.9003296,242.0092773,343.8671875,593.5905762,117.7067871,231,281.5,374.25,147.75,247.25,276.75,743.5,135.25,312.4835491,260,460.5661316,146.6793213,319.0009642,250.5337191,467.2195663,145.7485046,330,252.9854012,472.0634003,141.5354881,330,251.0128641,430.5676498,137.852314
17,18,NA,Tracking,w,8739615,-5.87,17,289.7341728,293.670001,152,135.5164719,252.1855469,342.5537109,333.7854004,148.6584473,239.25,280.5,68.75,141.25,271.25,273.25,276,146.5,310,290,146.3756676,153.8754654,310,280,164.2251892,158.0901299,320,280,130.4780464,145.9444466,320,280,120.2367325,139.067543
