,LocusName,He,FST,T1,T2,FSTNoCorr,T1NoCorr,T2NoCorr,meanAlleleFreq,indexOrder,GoodH,qvalues,pvalues,pvaluesRightTail,OutlierFlag
20832,SUPER_1_60728040_122074:118:+,0.19335172,0.544645182,0.081504921,0.149647741,0.548461435,0.082185782,0.149847878,0.891566265,20832,goodH,0.001657858,7.25E-07,3.63E-07,TRUE
22437,SUPER_1_89298958_133809:88:-,0.174190739,0.547025498,0.073997564,0.135272604,0.552336345,0.074855223,0.13552471,0.903614458,22437,goodH,0.001657858,6.53E-07,3.26E-07,TRUE
22441,SUPER_1_89299037_133809:9:-,0.174190739,0.547025498,0.073997564,0.135272604,0.552336345,0.074855223,0.13552471,0.903614458,22441,goodH,0.001657858,6.53E-07,3.26E-07,TRUE
22442,SUPER_1_89303040_133814:47:+,0.181901927,0.544528606,0.076086768,0.139729607,0.549504685,0.076905518,0.139954253,0.898809524,22442,goodH,0.001657858,7.05E-07,3.52E-07,TRUE
22445,SUPER_1_89303343_133814:350:+,0.181901927,0.544528606,0.076086768,0.139729607,0.549504685,0.076905518,0.139954253,0.898809524,22445,goodH,0.001657858,7.05E-07,3.52E-07,TRUE
22452,SUPER_1_89567708_133919:343:+,0.132653061,0.467441974,0.044319741,0.094813353,0.473684211,0.045,0.095,0.928571429,22452,goodH,0.002782648,5.48E-06,2.74E-06,TRUE
30639,SUPER_4_93530384_206762:123:-,0.232302201,0.503547284,0.086061573,0.170910609,0.509592279,0.087254162,0.171223478,0.865853659,30639,goodH,0.001894431,2.07E-06,1.04E-06,TRUE
30641,SUPER_4_93530396_206762:111:-,0.232302201,0.503547284,0.086061573,0.170910609,0.509592279,0.087254162,0.171223478,0.865853659,30641,goodH,0.001894431,2.07E-06,1.04E-06,TRUE
34941,SUPER_6_29747420_259907:77:+,0.132653061,0.467441974,0.044319741,0.094813353,0.473684211,0.045,0.095,0.928571429,34941,goodH,0.002782648,5.48E-06,2.74E-06,TRUE
48167,SUPER_5_55338950_346287:445:+,0.202714472,0.647142039,0.111699368,0.172604098,0.652461729,0.1128125,0.172902861,0.885542169,48167,goodH,0.000796785,4.36E-08,2.18E-08,TRUE
53262,SUPER_8_37173485_382540:28:+,0.3046875,0.508929279,0.114376781,0.224740028,0.518335901,0.116805556,0.225347222,0.8125,53262,goodH,0.001894431,1.64E-06,8.19E-07,TRUE
56065,SUPER_9_15409514_407098:420:+,0.126581314,0.459923193,0.041393598,0.090001111,0.464788732,0.041897507,0.090143121,0.932098765,56065,goodH,0.003353039,6.97E-06,3.48E-06,TRUE
59011,SUPER_10_7776997_428795:20:+,0.291121356,0.530589286,0.117833313,0.222080083,0.537422867,0.119628733,0.222597028,0.823170732,59011,goodH,0.001787579,9.77E-07,4.89E-07,TRUE
59013,SUPER_10_7777035_428795:58:+,0.288358252,0.534606728,0.118345976,0.221370159,0.541324437,0.120114482,0.221890005,0.825301205,59013,goodH,0.001787335,8.79E-07,4.40E-07,TRUE
59017,SUPER_10_7777319_428795:342:+,0.183843809,0.512010401,0.07069417,0.138071745,0.519183216,0.071862894,0.138415288,0.897590361,59017,goodH,0.001894431,1.60E-06,8.00E-07,TRUE
61984,SUPER_11_16538701_454530:306:-,0.185826889,0.509871451,0.070795449,0.138849604,0.51584101,0.071768899,0.139129883,0.896341463,61984,goodH,0.001894431,1.75E-06,8.76E-07,TRUE
61985,SUPER_11_16538715_454530:292:-,0.189921875,0.502846954,0.070566098,0.140333153,0.509008443,0.071571864,0.140610367,0.89375,61985,goodH,0.001894431,2.11E-06,1.05E-06,TRUE
61987,SUPER_11_16538928_454530:79:-,0.185826889,0.509871451,0.070795449,0.138849604,0.51584101,0.071768899,0.139129883,0.896341463,61987,goodH,0.001894431,1.75E-06,8.76E-07,TRUE
